,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
306,Eureka,97,US,1600874857,96,40.8,-124.16,57.99,5.28
307,Husavik,75,IS,1600874858,86,66.04,-17.34,37.4,13.87
308,Siderno,40,IT,1600874859,74,38.28,16.3,84.2,4.7
309,Maţāy,0,EG,1600874861,28,28.42,30.78,92.82,13.87
310,Cururupu,72,BR,1600874862,62,-1.83,-44.87,85.33,8.28
311,Margate,100,GB,1600874863,73,51.38,1.39,66.0,4.0
312,Ucluelet,90,CA,1600874282,93,48.93,-125.55,59.0,10.29
313,Payson,1,US,1600874865,55,40.04,-111.73,62.6,1.95
314,Lucapa,87,AO,1600874866,49,-8.42,20.74,82.92,5.73
315,Ulaangom,84,MN,1600874868,43,49.98,92.07,54.21,4.5
316,Kokopo,66,PG,1600874869,86,-4.35,152.26,77.47,2.64
317,Kabanjahe,95,ID,1600874870,97,3.1,98.49,65.32,4.09
318,Kailua,20,US,1600874871,74,21.4,-157.74,78.8,9.17
319,Trairi,0,BR,1600874873,47,-3.28,-39.27,87.91,18.19
320,Kunashak,40,RU,1600874874,75,55.7,61.55,44.6,11.18
321,Matara,26,LK,1600874444,86,5.95,80.54,78.69,8.39
322,Dmitriyevka,75,RU,1600874876,61,54.75,55.33,48.2,11.18
323,Kyshtovka,100,RU,1600874877,89,56.55,76.63,42.53,16.24
324,Monrovia,75,LR,1600874878,100,6.3,-10.8,75.2,10.29
325,Kiryat Gat,0,IL,1600874701,64,31.61,34.76,84.0,12.44
326,Iquique,40,CL,1600874690,67,-20.22,-70.14,62.6,10.29
327,Batticaloa,90,LK,1600874882,80,7.71,81.69,82.22,6.31
328,Yerbogachën,0,RU,1600874425,86,61.28,108.01,44.53,4.25
329,Dera Bugti,0,PK,1600874884,13,29.03,69.15,92.08,1.21
330,Mana,99,GF,1600874885,60,5.66,-53.78,86.65,11.9
331,Moïssala,78,TD,1600874886,79,8.34,17.77,81.39,1.14
332,Puksoozero,3,RU,1600874888,74,62.59,40.61,44.78,4.61
333,Cochrane,40,CA,1600874890,86,51.18,-114.47,50.0,5.82
334,Winnemucca,1,US,1600874891,40,40.97,-117.74,53.6,4.7
335,La Ronge,20,CA,1600874892,81,55.1,-105.28,48.2,9.17
336,Soyo,40,AO,1600874894,69,-6.13,12.37,80.6,9.17
337,Aberdeen,75,GB,1600874628,62,57.14,-2.1,54.0,8.05
338,Bariloche,0,AR,1600874896,45,-41.15,-71.31,48.2,2.24
339,Lavrentiya,82,RU,1600874434,86,65.58,-171.0,37.98,5.03
340,Port Hedland,26,AU,1600874396,43,-20.32,118.57,71.6,5.82
341,Galle,54,LK,1600874900,86,6.04,80.22,79.88,7.63
342,Tongliao,69,CN,1600874894,72,43.61,122.27,56.71,7.9
343,Churapcha,0,RU,1600874902,74,62.0,132.43,40.19,3.18
344,Plastun,18,RU,1600874903,89,44.76,136.29,49.68,5.26
345,Lompoc,1,US,1600874409,93,34.64,-120.46,55.4,2.19
346,Aleksandrovskiy Zavod,91,RU,1600874906,89,50.92,117.94,40.01,4.21
347,Ous,99,RU,1600874907,83,60.91,61.52,43.43,10.47
348,Calatayud,32,ES,1600874909,83,41.35,-1.64,80.6,1.12
349,State College,5,US,1600874676,49,40.79,-77.86,69.01,8.05
350,Marabu,40,MY,1600874911,100,4.41,114.01,73.4,3.36
351,Hong Kong,95,HK,1600874246,81,22.29,114.16,84.0,4.0
352,Sparbu,75,NO,1600874913,71,63.92,11.44,51.8,13.87
353,San Antonio,90,US,1600874734,83,29.42,-98.49,75.99,3.36
354,Listvyanka,0,RU,1600874916,70,51.85,104.87,48.2,6.71
355,Ust-Kuyga,82,RU,1600874917,74,70.02,135.6,39.22,5.37
356,Holland,1,US,1600874857,73,42.79,-86.11,73.0,6.93
357,Flin Flon,75,CA,1600874919,87,54.77,-101.86,48.2,6.93
358,Tonj,67,SS,1600874921,82,7.27,28.68,82.8,1.72
359,Redding,1,US,1600874859,76,40.59,-122.39,64.99,3.13
360,Maniitsoq,0,GL,1600874924,83,65.42,-52.9,33.62,13.69
361,Kuching,40,MY,1600874927,88,1.55,110.33,80.6,1.12
362,Zhezkazgan,100,KZ,1600874928,40,47.8,67.71,59.7,21.79
